Sequence,EventName,ClientComponent,ClientFunction,ServerComponent,ServerFunction,RelationshipType,EventTimestamp
34,stream,/src/Utilities/IPC/detail/MessageQueuePublisherImpl.cpp,~MessageQueuePublisherImpl,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.458085Z
35,getInstance,/src/Utilities/SignalHandler/SignalHandler.cpp,subscribeOnSigint,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,getInstance,Command,2026-05-22T12:42:09.459085Z
36,subscribeOnSigint,/src/Utilities/SignalHandler/SignalHandler.cpp,subscribeOnSigint,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,subscribeOnSigint,Command,2026-05-22T12:42:09.460085Z
37,setBit,/src/Utilities/DataPresentation/hamming74.cpp,encode,/include/cpsCore/Utilities/DataPresentation/hamming74.h,setBit,Command,2026-05-22T12:42:09.461085Z
38,stream,/src/Utilities/IDC/IDC.cpp,run,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.462085Z
39,instance,/tests/Logging/CPSLoggerTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Logging/CPSLogger.h,instance,Command,2026-05-22T12:42:09.463085Z
40,setSink,/tests/Logging/CPSLoggerTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Logging/CPSLogger.h,setSink,Command,2026-05-22T12:42:09.464085Z
41,instance,/src/Framework/api/FrameworkAPI.cpp,lockAggregator,/include/cpsCore/Framework/api/FrameworkAPI.h,instance,Command,2026-05-22T12:42:09.465085Z
42,begin,/src/Utilities/DataPresentation/detail/BasicSerialization.cpp,load,/include/cpsCore/Utilities/DataPresentation/detail/Binary/BinaryFromArchive.h,begin,Command,2026-05-22T12:42:09.466085Z
43,disconnect,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,~RedisPublisher,/extern/cpp_redis/includes/cpp_redis/core/client.hpp,disconnect,Command,2026-05-22T12:42:09.467085Z
44,cancel,/src/Utilities/IPC/detail/MessageQueueSubscriptionImpl.cpp,~MessageQueueSubscriptionImpl,/include/cpsCore/Utilities/IPC/detail/MessageQueueSubscriptionImpl.h,cancel,Command,2026-05-22T12:42:09.468085Z
45,setLogLevel,/tests/Logging/CPSLoggerTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Logging/CPSLogger.h,setLogLevel,Command,2026-05-22T12:42:09.469085Z
46,degrees,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Utilities/Angle.hpp,degrees,Command,2026-05-22T12:42:09.470085Z
47,consume,/src/Utilities/DataPresentation/detail/BasicSerialization.cpp,load,/include/cpsCore/Utilities/DataPresentation/detail/Binary/BinaryFromArchive.h,consume,Command,2026-05-22T12:42:09.471085Z
48,stream,/src/Utilities/IDC/NetworkLayer/Serial/SerialHandler.cpp,SerialHandler,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.472085Z
49,flush,/tests/Logging/CPSLoggerTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Logging/CPSLogger.h,flush,Command,2026-05-22T12:42:09.473085Z
50,store,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerializationImpl.hpp,split,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerialization.h,store,Command,2026-05-22T12:42:09.474085Z
